Date Reported,Time Committed,Weather Conditions,Barangay/Location,Type of Place,VTA Category,Victim Killed?,Victim Injured?,Victim Unharmed,"Main Cause (e.g. Human, Vehicle, Infrastructure, Environmental)",Details of Main Cause (e.g.  Human-Intoxication),Case Status,Road Conditions
9/1/2018,6:25:00 PM,foggy,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
4/1/2018,9:15:00 AM,clear,RIZAL MONUMENT AREA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),dry
4/1/2018,5:00:00 PM,clear,ST. JOSEPH (NAVY BASE),Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry
3/1/2018,11:50:00 AM,rainy,COUNTRY CLUB VILLAGE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet
10/1/2018,8:00:00 PM,foggy,MILITARY CUT-OFF,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),damp
5/1/2018,11:30:00 PM,clear,HARRISON-CLAUDIO CARANTES,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),dry
5/1/2018,8:30:00 PM,clear,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry
4/1/2018,2:20:00 PM,rainy,SAN LUIS VILLAGE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),wet
4/1/2018,2:20:00 PM,foggy,SAN LUIS VILLAGE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),damp
6/1/2018,6:00:00 PM,rainy,CAMP ALLEN,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet
6/1/2018,11:30:00 AM,rainy,KABAYANIHAN,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),wet
5/1/2018,8:15:00 AM,clear,BGH COMPOUND,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,No,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),dry
5/1/2018,5:50:00 PM,foggy,CAMP 7,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),damp
5/1/2018,7:10:00 AM,rainy,RIZAL MONUMENT AREA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Human Error,Speeding,SOLVED (AMICABLY SETTLED),wet
6/1/2018,4:15:00 PM,clear,SALUD MITRA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry
6/1/2018,8:40:00 AM,foggy,CABINET HILL-TEACHER'S CAMP,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
5/1/2018,10:50:00 AM,clear,ST. JOSEPH (NAVY BASE),Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,SOLVED (AMICABLY SETTLED),dry
5/1/2018,7:00:00 PM,rainy,BAKAKENG CENTRAL,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),wet
8/1/2018,2:30:00 PM,foggy,OUTLOOK DRIVE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),damp
6/1/2018,12:10:00 PM,rainy,MANUEL A. ROXAS,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),wet
8/1/2018,4:15:00 PM,clear,IMELDA BARANGAY,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),dry
8/1/2018,6:40:00 PM,clear,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,SOLVED (AMICABLY SETTLED),dry
8/1/2018,10:55:00 AM,rainy,HARRISON-CLAUDIO CARANTES,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,Yes,Human Error,Illegal Overtaking,SOLVED (AMICABLY SETTLED),wet
8/1/2018,7:28:00 AM,foggy,ABCR,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
9/1/2018,12:23:00 PM,clear,CAMP 8,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),dry
8/1/2018,10:30:00 AM,foggy,CAMP 7,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Human Error,Speeding,SOLVED (AMICABLY SETTLED),damp
8/1/2018,6:20:00 PM,rainy,SANTO TOMAS PROPER,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,SOLVED (AMICABLY SETTLED),wet
9/1/2018,5:30:00 PM,clear,CAMPO FILIPINO,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),dry
9/1/2018,1:20:00 PM,foggy,IRISAN,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,No,Human Error,Illegal Overtaking,SOLVED (AMICABLY SETTLED),damp
9/1/2018,9:45:00 AM,clear,BURNHAM-LEGARDA,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),dry
9/1/2018,10:00:00 AM,rainy,PADRE BURGOS,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Human Error,Inattention,SOLVED (AMICABLY SETTLED),wet
10/1/2018,4:00:00 PM,clear,"GENERAL LUNA, UPPER",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry
9/1/2018,11:15:00 AM,clear,ST. JOSEPH (NAVY BASE),Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),dry
11/1/2018,3:00:00 PM,foggy,BAKAKENG NORTE/SUR,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),damp
11/1/2018,12:30:00 PM,rainy,TRANCOVILLE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Human Error,Inattention,SOLVED (AMICABLY SETTLED),wet
11/1/2018,12:25:00 PM,clear,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),dry
11/1/2018,11:00:00 PM,rainy,SALUD MITRA,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),wet
10/1/2018,12:40:00 AM,rainy,SAN LUIS VILLAGE,Along the street,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,No,Yes,No,Environmental,Erosion of Roadside,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),wet
12/1/2018,5:15:00 PM,clear,RIZAL MONUMENT AREA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,No,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry
12/1/2018,4:15:00 PM,clear,KAYANG-HILLTOP,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry
12/1/2018,3:30:00 PM,foggy,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),damp
12/1/2018,9:11:00 AM,clear,MALCOLM SQUARE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry
11/1/2018,9:30:00 AM,rainy,BURNHAM-LEGARDA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Inattention,SOLVED (AMICABLY SETTLED),wet
11/1/2018,12:30:00 PM,foggy,SOUTH DRIVE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Inattention,SOLVED (AMICABLY SETTLED),damp
12/1/2018,11:00:00 PM,clear,SAN LUIS VILLAGE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),dry
1/16/2018,11:30:00 AM,rainy,CAMP 7,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),wet
1/15/2018,6:00:00 PM,clear,RIZAL MONUMENT AREA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry
1/13/2018,5:00:00 PM,foggy,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),damp
1/13/2018,6:50:00 AM,clear,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),dry
1/13/2018,2:02:00 PM,rainy,ABCR,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),wet
12/1/2018,7:50:00 AM,foggy,ABCR,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),damp
1/13/2018,11:55:00 PM,clear,CAMP 7,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),dry
1/13/2018,5:30:00 PM,clear,PACDAL,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),dry
12/1/2018,1:00:00 PM,rainy,BAKAKENG CENTRAL,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),wet
1/14/2018,1:25:00 PM,foggy,"MAGSAYSAY, LOWER",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),damp
1/14/2018,11:30:00 PM,clear,IRISAN,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Human Error,Inattention,SOLVED (AMICABLY SETTLED),dry
1/14/2018,12:20:00 PM,rainy,IRISAN,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,No,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),wet
1/14/2018,7:00:00 PM,foggy,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),damp
1/14/2018,2:30:00 PM,rainy,"MAGSAYSAY, UPPER",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),wet
1/14/2018,11:30:00 AM,clear,AZCKO,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),dry
1/14/2018,12:01:00 PM,clear,RIZAL MONUMENT AREA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),dry
1/13/2018,11:45:00 AM,foggy,RIZAL MONUMENT AREA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
1/13/2018,11:30:00 AM,clear,KAGITINGAN,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry
1/13/2018,11:40:00 AM,rainy,LOWER QM(GEFA),Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Human Error,Inattention,SOLVED (SUSPECT IDENTIFIED-VICTIM REFUSED TO FILE CHARGES),wet
1/13/2018,2:00:00 PM,foggy,BAKAKENG CENTRAL,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),damp
1/17/2018,8:30:00 AM,clear,DOMINICAN MIRADOR HILL,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry
1/13/2018,12:03:00 AM,clear,CAMPO FILIPINO,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Inattention,SOLVED (AMICABLY SETTLED),dry
1/25/2018,9:00:00 PM,rainy,SAN LUIS VILLAGE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),wet
1/15/2018,3:15:00 PM,foggy,RIZAL MONUMENT AREA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
1/14/2018,2:55:00 PM,clear,KABAYANIHAN,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),dry
1/15/2018,3:30:00 AM,rainy,"MAGSAYSAY, LOWER",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),wet
1/15/2018,2:30:00 PM,clear,AZCKO,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),dry
1/14/2018,2:25:00 PM,foggy,RIZAL MONUMENT AREA,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,No,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
1/15/2018,10:10:00 PM,rainy,PADRE BURGOS,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Human Error,Speeding,SOLVED (AMICABLY SETTLED),wet
1/15/2018,11:10:00 PM,clear,"MAGSAYSAY, LOWER",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),dry
1/14/2018,12:30:00 PM,foggy,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),damp
1/14/2018,11:30:00 AM,clear,KABAYANIHAN,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),dry
1/14/2018,10:00:00 AM,rainy,"MAGSAYSAY, UPPER",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),wet
1/14/2018,5:30:00 PM,foggy,BGH COMPOUND,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
1/14/2018,4:20:00 AM,clear,BURNHAM-LEGARDA,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Environmental,Erosion of Roadside,SOLVED (AMICABLY SETTLED),dry
1/14/2018,9:00:00 AM,rainy,BAKAKENG NORTE/SUR,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),wet
1/16/2018,11:50:00 PM,clear,CAMDAS SUBDIVISION,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,No,Human Error,Speeding,SOLVED (AMICABLY SETTLED),dry
1/16/2018,4:10:00 PM,foggy,ABCR,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,Yes,No,Human Error,Inattention,SOLVED (AMICABLY SETTLED),damp
1/16/2018,2:45:00 PM,rainy,"GENERAL LUNA, UPPER",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),wet
1/17/2018,7:00:00 AM,clear,CAMPO FILIPINO,Parking Area ,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Inattention,SOLVED (AMICABLY SETTLED),dry
1/17/2018,11:30:00 AM,foggy,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),damp
1/16/2018,4:40:00 PM,clear,KABAYANIHAN,Along the street,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,No,No,Yes,Human Error,Illegal Overtaking,SOLVED (AMICABLY SETTLED),dry
1/16/2018,8:45:00 AM,clear,BAKAKENG NORTE/SUR,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Human Error,Inattention,SOLVED (AMICABLY SETTLED),dry
1/16/2018,7:00:00 AM,rainy,BAKAKENG NORTE/SUR,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet
1/16/2018,8:00:00 PM,foggy,QUEZON HILL PROPER,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Traffic Congestion,SOLVED (AMICABLY SETTLED),damp
1/18/2018,4:00:00 PM,clear,"GENERAL LUNA, LOWER",Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Human Error,Speeding,SOLVED (AMICABLY SETTLED),dry
1/17/2018,2:50:00 PM,clear,HARRISON-CLAUDIO CARANTES,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Defective Traffic Lights,SOLVED (AMICABLY SETTLED),dry
1/17/2018,4:55:00 PM,rainy,HARRISON-CLAUDIO CARANTES,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Environmental,Fallen Tree on Road,SOLVED (AMICABLY SETTLED),wet
1/17/2018,1:00:00 PM,foggy,SESSION GOV. PACK,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
1/17/2018,10:30:00 AM,clear,AZCKO,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Construction Without Warning Signs,SOLVED (AMICABLY SETTLED),dry
1/17/2018,10:00:00 AM,rainy,AZCKO,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,Yes,No,Environmental,Slippery Road due to Rain,SOLVED (AMICABLY SETTLED),wet
1/17/2018,11:00:00 AM,foggy,OUTLOOK DRIVE,Along the street,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,No,No,Yes,Traffic Management Factors,Blocked Intersection,SOLVED (AMICABLY SETTLED),damp
